0 1.350011 
1 1.355317 
2 1.357268 
3 1.355309 
4 1.348883 
5 1.337997 
6 1.324434 
7 1.310835 
8 1.299102 
9 1.290204 
10 1.284581 
11 1.282410 
12 1.283648 
13 1.288008 
14 1.294986 
15 1.303953 
16 1.314253 
17 1.325216 
18 1.336197 
19 1.346593 
20 1.355832 
21 1.363412 
22 1.368923 
23 1.372080 
24 1.372730 
25 1.370837 
26 1.366486 
27 1.359884 
28 1.351342 
29 1.341295 
30 1.330285 
31 1.318936 
32 1.307952 
33 1.298059 
34 1.289959 
35 1.284263 
36 1.281422 
37 1.281667 
38 1.284982 
39 1.291101 
40 1.299549 
41 1.309694 
42 1.320820 
43 1.332197 
44 1.343129 
45 1.352992 
46 1.361267 
47 1.367541 
48 1.371520 
49 1.373019 
50 1.371968 
51 1.368411 
52 1.362501 
53 1.354517 
54 1.344854 
55 1.334026 
56 1.322646 
57 1.311407 
58 1.301039 
59 1.292264 
60 1.285727 
61 1.281929 
62 1.281172 
63 1.283508 
64 1.288751 
65 1.296492 
66 1.306139 
67 1.317000 
68 1.328344 
69 1.339458 
70 1.349695 
71 1.358501 
72 1.365423 
73 1.370126 
74 1.372390 
75 1.372115 
76 1.369315 
77 1.364116 
78 1.356758 
79 1.347608 
80 1.337133 
81 1.325904 
82 1.314589 
83 1.303904 
84 1.294580 
85 1.287291 
86 1.282601 
87 1.280881 
88 1.282273 
89 1.286664 
90 1.293705 
91 1.302852 
92 1.313437 
93 1.324733 
94 1.336017 
95 1.346617 
96 1.355944 
97 1.363515 
98 1.368958 
99 1.372020 
